reviewer
Klaus Jansen
Klaus Lux
Markus Wiegelmann
Christian Fecht
Helmut Seidl
Jordan Gergov
Harald Luschgy
Matthias Heinkenschloss
Bernd Sturmfels
Arno Wagner
Christian Stangier
Mirjam Dür
Reiner Horst
Beniamino Di Martino
Christoph W. Keßler
Wei Zhou 0006
Anna Bernasconi 0001
Igor E. Shparlinski
Le Dung Muu
Kasyap Natarajan
Hubertus Th. Jongen
Oliver Stein
M. Nast
Lothar Breuer
Daniel Görgen
Hannes Frey
Johannes K. Lehnert
Peter Sturm 0001
Patrick Reuther
E. Levitin
Jürgen Huschens
Marco Fahl
Andreas Neumann 0001
Randal E. Bryant
Subhendu Bikash Hazra
Volker Schulz 0001
Elena Dubrova
Horst Schmitt
Peter Willems
Igor N. Kovalenko
Dieter Prangenberg
R. J. Gardner
János Sztrik
Oliver Möller
Ulrich Hertrampf
Thomas Burger
Jochen Bern
Heidi Jäger
Thomas Erlebach
Flemming Nielson
Gurami Tsitsiashvili
Patrick Justen
Klaus Schwettmann
Ulrich Raber
Fabio Somenzi
Thorsten Theobald
Abdelouahed Hamdi
Attahiru Sule Alfa
Siegfried Graf
Jens Hofmann 0001
Norbert Th. Müller
Jan-J. Rückmann
Volker Klotz
Dimitri Efrosinin
Vladimir Rykov
Gerhard J. Woeginger
Hans L. Bodlaender
Michael Ruvimovich Davidson
Stephan Waack
Holger Class
Rainer Helmig
Katja Lenz
Alexander Hufnagel
David G. Larman
D. Kleis
Petra Scheffler
Stasys Jukna
Mikail Gevantmakher
Tankred Rautert
Luciano Lenzini
S. Rotin
Dirk Frosch
Craig Smith
Vladimir V. Kalashnikov
C. Ould Ahmed Salem
N. Lehdili
Matthias Krause 0001
Andreas Brieden
Marco Gilbert
Lars Abbe
Sebastian Maneth
Thomas Perst
Helmut Finner
Markus Roters
Jirí Sgall
M. A. Osipova
N. V. Koliev
Oleg V. Khamisov
Markus Holzer 0001
Markus Müller-Olm
Varmo Vene
Feng Cheng 0002
Paul Ferring
Martin Luckow
Dirk Frosch-Wilke
Christopher Lusena
Eric Allender
Judy Goldsmith
Rainer Hettich
Matthias Transier
Wolfgang Effelsberg
Aditya V. Nori
Anthony J. Hayter
Joachim Reiter
Rustam Mubarakzjanov
Ulrich Holtmann
C. T. Kelley
Peter Rossmanith
Michael Schmitt 0002
Gianpiero Cabodi
Stefano Quer
Ditmar Erdmann
Peter Dierolf
Volker Schmidt
Paul B. Hermanns
Markus R. Schmidt
Clemens Lautemann
Heribert Vollmer
Klaus W. Wagner
Thomas Schwentick
B. S. Tam
Anderson Rocha 0001
Jacques Wainer
Michael Eckmann
Siome Goldenstein
C. J. Date 0001
Hugo Hellebrand
Markus Casper
Ralf Merz
Rita Ley
Markus Tresch
Andreas Rock
Gayane Grigoryan
Günther Heinemann
Oliver Gronz
Oliver Gutjahr
Sarah R. Davies
Colleen Murphy
Paolo Gardoni
Louise A. Dennis
Steven R. Smith
Lishan Lan
Qin Zhu
Yongmou Liu
Indira Nair
William M. Bulleit
Jaime A. Teixeira da Silva
Vito L. Punzi
David Koepsell
William J. Frey
Amarjeet Singh 0004
Kewal Krishan
Neelam Dehal
Tanuj Kanchan
Adrian Treloar
Alastair J. D. Macdonald
Dimitrios Adamis
Finbarr C. Martin
Jinnie M. Garrett
Stephanie J. Bird
Brian Bowe
Diana Adela Martin
Eddie Conlon
Petr Houdek
Laura Yenisa Cabrera Trujillo
Sabrina Engel-Glatter
Peter M. Attia
Albert P. C. Chan
Amos Darko
Igor Martek
M. Reza Hosseini
Mahdi Tahmasebi
Saeed Banihashemi
Christian Gamborg
Ellen-Marie Forsberg
Karsten Klint Jensen
Kate Millar
Peter Sandøe
Gizell Green
Miri Barak
Rafi Rashid
Raymond E. Spier
Fabrizia Faustinella
Giovanni M. Pes
Maria Pina Dore
Lynne E. Olson
Dena Plemmons
Michael W. Kalichman
Sylvia C. Pont
Willem-Paul Brinkman
Nikolas Stroth
Anna Krizanova
Jana Kliestikova
Maria Misankova
Tatiana Corejova
Tomas Kliestik
Seumas Miller
Reena Cheruvalath
Wha-Chul Son
Cathal D. O'Connell
Frédéric Gilbert 0003
Susan Dodds
Tajanka Mladenovska
David M. Shaw
Peter Morfeld
Thomas C. Erren
Guido Nicolosi
Guido Ruivenkamp
Lars Lindblom
Per Wikman-Svahn
Patrick L. Taylor
Ioanna Semendeferi
Ioannis T. Pavlidis
Malcolm Dcosta
Panagiotis Tsiamyrtzis
Maarten C. A. van der Sanden
Patricia Osseweijer
Steven M. Flipse
Vance W. Berger
Sven Ove Hansson
Dan Perry
Gad Perry
Howard J. Curzer
Mark C. Wallace
Jukka Varelius
Søren Holm
Thomas Ploug
Emel Aközer
Mehmet Aközer
Morten P. Oksvold
Alexander Hevelke
Julian Nida-Rümelin
Ana Mlinaric
Jelena Omazic
Martina Horvat
Vesna Supak-Smolcic
Fern Wickson
Adèle Paul-Hus
Bryn Williams-Jones
Cassidy R. Sugimoto
David B. Resnik
Elise Smith
Min Shi
Vincent Larivière
Zubin Master
Michael Davis 0002
Carol B. Fowler
David L. Evers
Jeffrey T. Mason
Rebecca K. Mimnall
Emmanuel Kingsford Owusu
Erika Pärn
Ming Shan
Raphael Cohen-Almagor
Byron Newberry
Greta Gorsuch
Katherine A. Austin
Thomas Darwin
William D. Lawson
Filippo Santoni de Sio
Andreea Peca
Bram Vanderborght
Cristina Pop 0002
Daniel O. David
Mark Coeckelbergh
Ramona Simut
Sebastian Pintea
Conrad Heilmann
Frances S. Grodzinsky
Keith W. Miller 0001
Marty J. Wolf
Cary Moskovitz
A. Lauren Crain
Brian C. Martinson
Carol R. Thrush
Bailey C. Davis
Courtney E. Williams
George C. Banks
Lisa M. Rasmussen
Mary M. Hausfeld
René von Schomberg
Alexander Mertens
Christopher Brandl
Frank Ole Flemisch
Jochen Nelles
Katharina Schäfer
Martin Frenz
Matthias Wille
Peter Rasche
Verena Nitsch
Jessica Li
Shengli Fu
Katherine A. McComas
Ralph J. Greenspan
Anders Braarud Hanssen
Hanne Marie Nielsen
Ingrid Olesen
Philippe A. Tanguy
Thierry C. Pauchant
Yoann Guntzburger
Gianmarco Baldini
Maarten Botterman
Mariachiara Tallacchini
Ricardo Neisse
Bernice Elger
Fabrice Jotterand
Marcello Ienca
Reto W. Kressig
Tenzin Wangmo
Arif Sari
Simona Hasková
Yue Liang Zheng
Anna Marousková
Marek Vochozka
Vojtech Stehel
Hugh P. Shanahan
Louise Bezuidenhout
Robert Quick
Sven Nyholm
Charles-Étienne Daniel
Danielle Tapin
Georges-Auguste Legault
Jacques Beauvais
Jean-Pierre Béland
Johane Patenaude
Jonathan Genest
Louise Bernier
Marie-Sol Poirier
Patrick Boissy
Vanessa Chenel
Abhilash Kizhakenath
Behnam Taebi
Geerten van de Kaa
Ibo van de Poel
Jafar Rezaei 0001
Angela Fortunato
Claire Gloeckner
Rosa Lynn Pinkus
Anton Petrenko
Dan McArthur
Jason Borenstein
Joseph R. Herkert
George R. Hoffmann
Khaled Moustafa
Jameson M. Wetmore
Shane Epting
Michael J. Selgelid
Nicholas G. Evans
Ayanna M. Howard
Noor Munirah Isa
Bert van Wee
Bert Gordijn
David Wright 0003
Declan O'Sullivan
Karsten Weber
Philip Brey
Rowena Rodrigues
Wessel Reijers
Alex A. Karner
Jessica Morley
Luciano Floridi
Camille Nebeker
Cinnamon S. Bloss
John Harlow
Michelle Takemoto
Nadir Weibel
Rasheed Al Kotob
Rubi Linares-Orozco
Vincent Chan
Glenn Borchardt
Mehdi Dadkhah
Mohammad Lagzian
Alison Kretser
Andrea Grantham
Catherine Woteki
Chavonda Jacobs-Young
David B. Allison
Delia Murphy
Dorothea Vafiadis
Jessica M. Wyndham
Johanna Dwyer
Kathryn J. Boor
Linda J. Harris
Rachelle Hollander
Rickey Y. Yada
Sarah M. Rovito
Stefano Bertuzzi
Todd Abraham
Heidrun Åm
Knut H. Sørensen
Maria Bårdsen Hesjedal
Roger Strand
Susan A. Elmore
Eric M. Meslin
Leonidas G. Koniaris
Mary I. Coombs
Teresa A. Zimmers
Matthew J. Dennis
James A. Blumenthal
Kenneth H. Funk II
Wei-Tau Lee
Catherine D'Ignazio
Don Blair
Hagit Keysar
Pablo Rey-Mazón
Shannon Dosemagen
Grant Fore
Justin L. Hess
Brent D. Mittelstadt 0002
Corinne Cath
Mariarosaria Taddeo
Sandra Wachter
Hossein Yahaghi
Javad Yahaghi
Shahryar Sorooshian
Gerd Michelsen
Erik Laes
Gunter Bombaerts
Evan Selinger
Jathan Sadowski
Kyle Powys Whyte
Susan G. Spierre
Thomas P. Seager
Auke J. K. Pols
Carl Mitcham
Gary Lee Downey
Juan C. Lucena
Hans Peter Graf
Miguel Roig
Sonia Maria Ramos de Vasconcelos
Eugenijus Gefenas
Jurate Lekstutiene
Chijs van Nieuwenhuizen
David Buitenweg
Ilja L. Bongers
Ivo Maathuis
Maartje G. H. Niezen
Eran Klein
Frida Simonstein
Gary Santillanes
Ryan Marshall Felder
Douglas Walton
Glen Miller
Dalal M. Al Tamimi
Magdy A. Kharoshah
Mohammed Madadin
Ritesh G. Menezes
Savita Lasrado
Vijaya Marakala
Brian P. Coppola
Huai Sun
India C. Plough
Matthew Benjamin Reisman
Aceil Al-Khatib
Mathieu Bouville
Manjur S. Kolhar
Alain Braillon
J. Fdez-Valdivia
Jose A. García 0001
Rosa Rodríguez-Sánchez
Benedicte Wilson
Erika Palmer
Barbara K. Redman
Roel Snieder
Somsri Wiwanitkit
Viroj Wiwanitkit
William E. Kastenberg
Emily Bell
Mary E. Sunderland
Rahul Uday Nayak
Angel Peiró-Signes
María-del-Val Segarra-Oña
Roberto Cervelló-Royo
Daming Zhang
Qinghui Suo
Yang Liu
Peter Kroes
Kelly Laas
Michael Davis
Elizabeth A. Boyd
Lisa A. Bero
Philip J. Langlais
Aimee van Wynsberghe
Emma Keuleyan
Amos K. Laar
Arthur Caplan
Kyle Ferguson
Andrea Di Cencio
Lhassan M'Barki
Mohamed Abioui
Mohamed Dades
Mohammed Benssaou
Abhishek Tandon
Frederick Grinnell
Barbara E. Ribeiro
Robert D. J. Smith
Alex Richman
Vincent Richman
Ahmed Fouad Bouras
Hadjar Toumi
Lamia Kara
Mustapha Benmansour
Nassim Kazitani
Noureddine Bettahar
Arie Rip
Christine Winberg
Penelope Engel-Hills
Daniele Fanelli
Vanja Pupovac
Ali Shirzadi
Ashish Patel
Doniel Drazin
George Hanna
Kevin Spitler
Milos Cekic
Ray Chu
Mladen Petrovecki
Snjezana Prijic-Samarzija
Kelly Joslin Holloway
James A. Stieb
Charles E. Harris
Jessica Smith Rolston
William T. Lynch
Matthew A. Butkus
Ramón Queraltó
Steffen Steinert
Steven Puylaert
Udo Pesch
Ben A. Minteer
James P. Collins
Charlotte Stix
Charles-Henry Frouart
Christian Hervé
Christophe Le Tourneau
Guillaume Vogt
Henri-Corto Stoeklé
Marie-France Mamzer-Bruneel
Pierre Laurent-Puig
Svetlana Zernes
Eun Ah Lee
Magdalena Grohman
Marco Tacca
Matthew J. Brown
Nicholas R. Gans
Ruchen Wen
Ryan Blake Jackson
Tom Williams 0001
Susanne Öchsner
Ulrike Felt
Haldun M. Özaktas
Balamuralithara Balakrishnan
Fumihiko Tochinai
Hidekazu Kanemitsu
Emily A. Ronning
Melissa S. Anderson
Raymond De Vries
Matthew A. Allison
Sean T. Powell
Ronnie Hawkins
Shlomo Mark
Yotam Lurie
Philip Robichaud
T. Prabhakar Clement
Hugh Desmond
Andrew P. Rebera
Matteo E. Bonfanti
Silvia Venier
Bruce V. Lewenstein
Andrew J. Russell
Gregory J. Morgan
Jeff Collmann
Kevin T. FitzGerald
Lee Vinsel
Lisa M. Dolling
Michael Steinmann
Rochelle E. Tractenberg
Wolfhart Totschnig
Alan H. McGowan
Hong Chen
Hui Lu
Ruyin Long
Wei Du
Rafal Wodzisz
Annibale Biggeri
Bridget M. Noonan
Debra Parrish
James A. E. Macpherson
Bernice Simone Elger
Marc Folcher
Raheleh Heidari Feidt
Paul B. Thompson
Margaret C. Thompson
Frederik Voetmann Christiansen
Mikkel Willum Johansen
Alejandra Boni
Carola Calabuig
José Javier Sastre
Neelke Doorn
Scott D. Gelfand
Jenny Krutzinna
Robert Frodeman
John E. Dahlberg
Nancy M. Davidian
Daniel Pallarés-Domínguez
Emilio Delgado López-Cózar
Ramón A. Feenstra
Chao Zuo
Haiyan Wang
Junwen Zhu
Weishu Liu 0001
Neha Baryah
Richa Mukhra
Alex John London
Frauke Hoss
Iñigo de Miguel Beriain
Elena Diller
Katie Caudle
Marzieh Morovati
Mohammadamin Erfanmanesh
Daniela Glavanicová
Matteo Pascucci
Aurelia Tamò-Larrieux
Christoph Lutz
Eduard Fosch-Villaronga
Heike Felzmann
Valérie Racine
Amin Asadi
Fahime Asadi
Kokab Khalili Paji
Meisam Asadi
Nader Rahbar
Mark S. Davis
Michelle Riske-Morris
Sebastian R. Diaz
Gardar Arnason
Janice M. Ballou
Sandra L. Titus
Earl D. McCoy
Kristin Berry
Angelina Patrick Olesen
Latifah Amin
Siti Nurani Mohd Nor
Monica Sweet
Brice Laurent
Herman Paul
Dorthie Cross
Michael J. Kuhar
Maru Mormina
Christos Makridis
Alexandra Kapeller
Ann-Marie Hughes
Aamir Raoof Memon
Martina Mavrinac
Charles Verharen
Flordeliz Bugarin
Gada F. Kadoda
George Middendorf
John Tharakan
Joseph Fortunak
Arleen Salles
Kathinka Evers
Michele Farisco
Shunhai Qu
Julie L. Swann
Matthew J. Drake
Robert Kirkman
Erika Spuchlakova
Pavol Kral
Bor Luen Tang
Brett S. Torrence
E. Michelle Todd
Logan L. Watts
Megan R. Turner
Michael D. Mumford
Shane Connelly
Tyler J. Mulhearn
Georgina Voss
Shan Jing
Kenneth V. Iserson
Bernice S. Elger
Isabelle Wienand
Milenko Rakic
Rebecca Nast
Betty B. Chaar
Iman A. Basheti
Leen B. Fino
Joe Giffels
Sara H. Vollmer
Ehsan Roohi
Omid Mahian
Markus Christen
Matthew Hunt
Ning Wang
Colin Berry
Maryam Alsadat Hashemipour
Nader Navabi
Sepehr Pourmonajemzadeh
Shahrzad Zoghitavana
Justin Donhauser
Adam Briggle
Sigrid Sterckx
Gabrielle Wong-Parodi
Wandi Bruine de Bruin
Gary Rhoades
Sheila Slaughter
Steven R. Kraaijeveld
William Bülow
Alankrita Taneja
Jagadish Rao Padubidri
Sharath Burugina Nagaraja
Anna Julie Rasmussen
Mette Ebbesen
Julian Kinderlerer
Laurens Landeweerd
Helen Morley
Rob Lawlor
Hutan Ashrafian
John D. Loike
Rachel L. Mintz
Ruth L. Fischbach
Celia Fernández-Aller
Cristina del Barrio
Eloy Portillo
Javier Malagón
María Luisa Martín Ruiz
David J. Gunkel
Katarina Valaskova
Lucia Svabova
George Wang
Russell George Thompson
Victoria Sutton
Aaron D. Levine
Laura Palucki Blake
Roberta M. Berry
Priya Satalkar
Flora Colledge
Jakob Passweg
Richard Meissner
Jack Stilgoe
B. Tyr Fothergill
Bernd Carsten Stahl
Christine Aicardi
Fabrice O. Morin
Gudrun Klinker
Inga Ulnicane
Lars Klüver
Manuel Guerrero
Simisola Akintoye
William Knight 0001
Yannick Morel
Andrzej Górski
Slawomir Letkiewicz
Christine Killoran
Michael G. Anderson
Tricia Bertram Gallant
Shannon L. Spruit
Zoë Robaey
Carrie J. McClelland
Jessica M. Smith
Nicole M. Smith
Alok Atreya
Marc Lampe
Judy Illes
Mark J. Cook
Terence J. O'Brien
Beuy Joob
Md Zahidul Islam 0001
Yeslam Al-Saggaf
Huda Fatima
Syed Ather Hussain
Syed Bilal Pasha
Tooba Fatima Qadir
Armando Segura-Naya
Enrique Hernández-Montes
Luisa María Gil-Martín
Lambèr M. M. Royakkers
Berna Arda
Ilija Cosic
Mladen Pecujlija
Velibor Ivanisevic
Gina M. Eosco
Meghnaa Tallapragada
Bruno Turnheim
Mehmet Y. Tezcan
Amy G. Buhler
David Schwieder
Denise Beaubien Bennett
Melody Royster
Michelle Leonard
Céline Kermisch
Jeffrey Kovac
Mohd Salim Mohamed
Nishakanthi Gopalan
Lucas Regner
Meg Leta Jones
Lise Degn
Thomas R. Scott
Jake Greenblum
Ryan Hubbard
Michael Lemaster
Scott R. Glisson
Stephen A. Gallo
Dennis M. Gorman
Cynthia Selin
Cong Cao
Donald Lien
Li Tang 0005
Xiaoou Liu
Hui Fang 0006
Anat Elhalal
Libby Kinsey
Margaret Satterthwaite
Angie A. Kehagia
Carole Federico
Gary H. Glover
Kate Tairyan
Cory Higgs
Tristan McIntosh
Ilse Oosterlaken
Jeffrey M. Warrender
Elaine E. Englehardt
Lisa H. Newton
Patricia H. Werhane
Karen B. Schmaling
Lisa A. Thompson
Abeer M. Rababa'h
Karem H. Alzoubi
Mera Ababneh
Omar F. Khabour
Tarcisio Abreu Saurin
Boris Kotchoubey
Ranganatha Sitaram
Sarah Bütof
Ana Marusic
Domagoj Markovic
Mario Malicki
Matko Marusic
Vedran Katavic
Justin Smith 0004
Blake J. Bent
Diane S. Gilleland
Timothy N. Atkinson
Darren Schreiber
Gert-Jan C. Lokhorst
Christopher B. Freelance
Anjali Truitt
Laura Specker Sullivan
Matthew Sample
Michelle Pham
Paul Tubig
Raney Folland
Sara Goering
Tim Brown
Carolina Herrera Bañol
Daniel Andrés La Rotta Forero
Juliana Andrea Arias Vergara
Juliana Montoya Ardila
Silvia Teresa Morales-Gualdrón
Elaine S. Godfrey
Richard T. Marcy
Sydney T. Sevier
Vykinta Kligyte
Mohammad Javad Rezvani
Koos van der Bruggen
Guangyuan Hu
Yang Sui
Yuhan Yang
Josep M. Basart
Montse Serra
Kamil Mamak
Don Gotterbarn
Bhaskaran Unnikrishnan
Divya Trivedi
Mishaal Talish
Nithin Kumar
Prasanna Mithra
Ramesh Holla
Thapar Rekha
Vaman Kulkarni
Rockwell F. Clancy
Ineke Malsch
Cezary Bolek
Jovan Shopovski
Monika Bolek
José G. B. Derraik
Joseph Lee
Donna Riley
Béatrice Godard
Thierry Hurlimann
Vincent Menuz
Saadia Mahmud
Tracey Bretag
Amy Huang
Clyde Briant
D. Parthasarathy
Hongqin Zhao
Julianne Hanavan
Min Li
N. C. Narayanan
Paul Firenze
Sheila Bonde
Anton Oleinik
Denise A. Baker
Barry D. Solomon
Karma Lekshe Tsomo
Mónica Mendes
Nuno Correia 0001
Pedro Ângelo
Valentina Nisi
Amitabha Gupta
Bahadur Singh
Maja Horst
Avan N. Antia
Mirjam Sophia Glessmer
Tom Børsen
Petr Suler
Andrea Malizia
Angela Cirigliano
Carlo Bellecci
Michele Lioj
Orlando Cenciarelli
Pasquale Gaudio
Teresa Rinaldi
Lucie White
Philippe van Basshuysen
Bjørn Hofmann
Alan Zimmerman
Cameron Gordon
Hui Wang
Qin-Rui Xing
Tao Wang
Wei Chen
Christopher Kampe
Colleen S.
Gwendolynne Reid
Kathleen M. Vogel
Paul Jones 0001
Sean Streck
Beth A. Fischer
Michael J. Zigmond
Behzad Ataie-Ashtiani
Hossein Esmaeili
Dusanka Krajnovic
Ivana Tadic
Mirko Savic
Svetlana Stojkov
Tatjana Crnjanski
David J. Kijowski
Harry Dankowicz
Michael C. Loui
Michael McNamee
Owen Guy
Robert Evans
Jesse Engebretson
Michael O'Rourke
Sean Valles
Troy E. Hall
Zach Piso
Reinhard Kreissl
Freida Ozavize Ayodele
Hasnah Binti Haron
Liu Yao
Hendrik F. Machiel Van der Loos
Steven Umbrello
Barry Bozeman
Jan L. Youtie
Daan Schuurbiers
Alexandra E. MacDougall
Logan M. Steele
Paul Partlow
Furio Cerutti
Ping Yan
Qian Wang
Ksenia Gerasimova
Maria Paola Ferretti
Dale J. Benos
Cristian Timmermann
Bo Brinkman
Marzieh Maghrouni
Somchai Wongwises
Julio R. Tuma
Jeroen van den Hoven
Edward J. Calabrese
Bradley J. Brummel
C. K. Gunsalus
Kerri L. Anderson
Christabel Man-Fong Ho
Olugbenga Timo Oladinrin
Chase E. Thiel
James F. Johnson
Lauren N. Harkrider
Lynn D. Devenport
Zhanna Bagdasarov
Laurence Raineau
Sophie Poirot-Delpech
Hitashi Lomash
Seema Bawa
Seemu Sharma
Ana Tomicic
Anamaria Malesevic
Anto Cartolovni
Michael G. Pecht
N. Jordan Jameson
Xin Song
Di Di
Elaine Howard Ecklund
Guy D. Eslick
Harry Hua-Xiang Xia
Hua He
Ming-Hua Zheng
Qing-Jiao Liao
Shi-Bing Zhang
Xing-Xiang He
Yu Bai
Yu-Chen Fan
Yuan-Yuan Zhang
Brent K. Jesiek
Scott Robbins
Achim Stephan
Anja K. Faulhaber
Anke Dittmer
Felix Blind
Gordon Pipa
Leon René Sütfeld
Maximilian Alexander Wächter
Peter König
Silja Timm
Lantz Fleming Miller
Gary Comstock
Alan Feinerman
L. Alexandra Morrison
Dario Sambunjak
Darko Hren
Matthew W. Keefer
Eleni Kaldoudi
Eva Bezak
Fatimah Ibrahim
Gilda A. Barabino
Lenka Lhotská
Loredana G. Marcu
Magdalena Stoeva
Monique Frize
Virginia Tsapaki
Emilio Mordini
James M. DuBois
A. S. M. Touhidul Islam
Eric Racine
Sebastian Sattler
Wren Boehlen
Calvin Gerald Mole
Marise Heyns
Marcin Waligora
Phillip W. Gray
Sara R. Jordan
Petteri Niemi
Helen Nissenbaum
Andrew Askland
Haico te Kulve
David H. Guston
Bhuchitra Singh Bankura
M. Arun
Sadip Pant
Hong Gao
Yang Zhang
Emanuele Bardone
Margus Pedaste
Mirjam Burget
Hasrizul Hashim
Livia Puljak
Fritz Allhoff
Alison L. Antes
Kari A. Baldwin
Tammy English
Alex McKeown
Ilina Singh
Mark Sheehan
Miranda Mourby
Paul Harrison
Sophie Walker
Dajana Schnell
Florian Steger
Maximilian Schochow
Frederik C. Huettenrauch
Nina Klimburg-Witjes
M. Castro-Sitiriche
Gordana Brumini
Ksenija Bazdaric
Lidija Bilic-Zulle
Olivia Walling
Andreas Spahn
Lex M. Bouter
Martin Sand
Guy Widdershoven
Joeri Tijdink
Krishma Labib
Lidwine Mokkink
Natalie Evans
Rea Roje
Moti Mizrahi
Yongyan Li
Abdul Kabir Hussain Solihu
Abdul Rauf Ambali
Lucy Carter
Jan Piasecki
Vilius Dranseika
Jurate Serepkaite
Zivile Valuckiene
Rebecca Davnall
Jan Peter Bergen
Kevin M. Passino
Ayman El-Menyar
Hassan Al-Thani
Mohammad Asim
Rifat Latifi
David A. Rolfe
Gordon D. Hoople
Qosay A. E. Al-Balas
Rana Dajani
Wael K. Al-Delaimy
Eric T. Freyfogle
Ali Khaki-Sedigh
Charles E. Harris Jr.
David J. Hartmann
Thomas Van Valey
Wayne Fuqua
Hub A. E. Zwart
Luca Consoli
Mariette A. van den Hoven
Mohammad Hosseini
Abeer Alsadoon
L. H. Segura Anaya
Nectar Costadopoulos
P. W. C. Prasad
Augustus R. Lumia
Christopher J. Frost
Jilles Smids
Douglas R. May
Matthew T. Luth
Bram Duyx
Gerard M. H. Swaen
Maurice P. A. Zeegers
Miriam J. E. Urlings
Priyan Dias
T. H. Lee Williams
Barbara Van Koppen
Emily Van Houweling
Ralph P. Hall
Alaa Abdou
Omar J. Alkhatib
David Lizcano
Juan Alfonso Lara
Juan Ares Casal
María-Aurora Martínez
Krzysztof Rózanowski
Marek Czarkowski
Chien Chou
Sophia Jui-An Pan
Antoine Derouet
Christelle Didier
Eugene Schlossberger
Ramona C. Albin
