key;title;author;booktitle;year;abstract;keywords;organization;type;reviewers;review;decision
journals/lncs/Browne93;Communication and Synchronization Issues in Distributed Multimedia Database Systems.;Shirley Browne;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Machine Learning|Relational Databases;Konkuk University;university;Antonio Dasilva 0001|Elisa Quintarelli|Valtteri Niemi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SubramanianA93;Applying OOAD in the Design and Implementation of an Intelligent Geographic Information System.;Nabil R. Adam|Ramesh Subramanian;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Big Data|NLP|Semantic Data;L3Harris Technologies;company;Guillermo L. Taboada|Anita Pongrácz|Yuri Grinberg;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/WachsmuthG91;Knowledge Packets and Knowledge Packet Structure.;Barbara Gängler|Ipke Wachsmuth;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;NLP|Machine Learning|Big Data;University of Jena;university;Wael Alghamdi|Philippe Bich|Junmiao Shi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Wilms91;The Text Understanding System LEU/2.;Jan Wilms;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Semantic Data|High Performance Computing|Data Structures;Dollar General;company;Haico te Kulve|Jan Willem Klop|Viviana Bono;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Clifford93;Indexical Databases.;James Clifford;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;NLP|Machine Learning|Big Data;AbbVie;company;Gregory F. Cooper|Matthias M. Hölzl|Steven A. Matthews;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/DorreS91;A Formalism for Natural Language - STUF.;Jochen Dörre|Roland Seiffert;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Big Data|Relational Databases|Data Structures;Texas A&M University, College Station;university;Alex Po Leung|Wen Jing Chen|Haldun M. Özaktas;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SegevC93;A Data Model for Time-Series Analysis.;Arie Segev|Rakesh Chandra;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Data Structures;Mitsui;company;Rocael Hernández|Jun Sese|Marco Kick;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/HentenryckSD94;Design, Implementation, and Evaluation of the Constraint Language cc(FD);Pascal Van Hentenryck|Vijay A. Saraswat|Yves Deville;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;NLP|Computer Networks;University of Wyoming;university;Khaled Ghédira|Ranganatha Sitaram|Lale Özbakir;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/LinkS91;The Treatment of Plurality in L-LILOG.;Godehard Link|Hinrich Schütze;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Computer Networks|Relational Databases|Semantic Data;University of North Carolina at Chapel Hill;university;Alex Simpson|Otthein Herzog|Onur Kesten;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Benhamou94;Interval Constraint Logic Programming;Frédéric Benhamou;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Relational Databases|Semantic Data|Data Structures;Shandong University;university;Oguz Mustapasa|Mehdi Jafari|Lucy Carter;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Maienborn91;Verbs of Motion and Position: On the Optionality of the Local Argument.;Claudia Maienborn;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Relational Databases;University of North Texas, Denton;university;Min Sun|Masahiro Ehara|Andreas Arning;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Rueher94;An Architecture for Cooperating Constraint Solvers on Reals;Michel Rueher;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Machine Learning|NLP|Relational Databases;Autonomous University of Barcelona;university;Christopher R. Dance|Jaakko Riihimäki|Cristina M. Beltran-Aroca;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Ludewig91;Incremental Vocabulary Extensions in Text Understanding Systems.;Petra Ludewig;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Machine Learning|Data Structures|Data Mining;Universidade Nova de Lisboa;university;Ana Silva 0001|Frank P. Ferrie|Josep-E. Baños;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Kiss91;The Grammars of LILOG.;Tibor Kiss;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Engineering|High Performance Computing|Big Data;Northeastern University;university;S. Tom Au|Alexander V. Shafarenko|Anna-Maria Rivas McGowan;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/BorkelG91;A Knowledge Engineering Environment for LILOG.;Manfred Börkel|Peter Gerstl;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Semantic Data|High Performance Computing|Data Mining;University of Texas at San Antonio;university;Byoung-Tak Zhang|Rick Statman|Joey Tianyi Zhou;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/ElmasriK93;A Temporal Query Language For A Conceptual Model.;Ramez Elmasri|Vram Kouramajian;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Data Engineering;University of New England (Australia);university;A. W. Roscoe 0001|Sanjay Chawla|Yutaka Kawai;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Arning91;The Trace of Building a Large AI System.;Andreas Arning;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Relational Databases|Semantic Data;University of Oklahoma Health Sciences Center;university;Kyoungwon Seo|Bernard Caillaud|Valéria Farinazzo Martins;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Seifert91a;Unification-ID/LP Grammars: Formalization and Parsing.;Roland Seiffert;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Structures|High Performance Computing;Yale University;university;Cosmina Ivan|Thomas Furmston|Marcelo Mendoza;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/AnderssonDSYTY93;FEMUS: A Federated Multilingual Database System.;Haiyan Ye|Kokou Yétongnon|Markus Tresch|Martin Andersson|Stefano Spaccapietra|Yann Dupont;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;High Performance Computing|Big Data|Machine Learning;University of New Brunswick;university;Christos Makridis|Riccardo Pucella|Christos Tselios;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/NebelS91;Attribute Description Formalisms ... and the Rest of the World.;Bernhard Nebel|Gert Smolka;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Machine Learning|Data Structures;University of Nantes;university;Eric Lorenz|Mukul Majumdar|Steven Salerno;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Fages94;Constructive Negation by Pruning and Optimizing Higher-Order Predicates for CLP and CC Languages;François Fages;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;High Performance Computing;King Abdulaziz University;university;Alessandra Tesei|Justus Winkelmann|Francisco Zapata;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/GehaniJS93;COMPOSE: A System For Composite Specification And Detection.;H. V. Jagadish|Narain H. Gehani|Oded Shmueli;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Big Data;University of Colorado Boulder;university;Carlos Lombardi|István Szita|Manfred Georg;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SuS93;An Object-Oriented Knowledge Model for KBMS-supported Evolutioinary Prototyping of Software Systems.;Stanley Y. W. Su|Yuh-Ming Shyy;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Data Engineering|Relational Databases|Data Mining;Jagiellonian University;university;Conny Olovsson|Andres M. Carnero|Maria Patricia Dobson;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/DobesN91;from Knowledge Structures to Text Structures.;Hans-Joachim Novak|Zuzana Krifka Dobes;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Relational Databases|High Performance Computing;TC Energy;company;Henri-Corto Stoeklé|David Duvenaud|Christopher R. Dance;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/AngeleFLNS91;Knowledge Engineering in the Context of Related Fields of Research.;Dieter Fensel|Dieter Landes|Jürgen Angele|Rudi Studer|Susanne Neubert;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Mining|Data Structures;Western Michigan University;university;Naren Ramakrishnan|Cris L. Luengo Hendriks|Bernard Zenko;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SandtG91;Presupposition, Anaphora, and Lexical Content.;Bart Geurts|Rob A. van der Sandt;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Mining|NLP|Computer Networks;La Trobe University;university;Martin Dufwenberg|Gergely Neu|Chris Bracegirdle;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/CodognetN94;Enhancing the Constraint-Solving Power of CLP(FD) by Means of Path-Consistency Methods;Giuseppe Nardiello|Philippe Codognet;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Computer Networks|Relational Databases|Semantic Data;American Express;company;M. M. Artigao Castillo|Kevan Buckley|Alexander Bockmayr;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Pletat91;The Knowledge Representation Language L-LILOG.;Udo Pletat;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing;Hebrew University of Jerusalem;university;Shahrzad Zoghitavana|Armand Bankhead III|Jesús Carretero 0001;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Mayer91;Anaphora and Domain Restriction.;Rolf Mayer;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;NLP;Dartmouth College;university;Markus Kirchberg|F. G. Tcheremissine|Gizell Green;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Schmitt91;Deductive Aspects of Three-Valued Logic.;Peter H. Schmitt;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Machine Learning|Relational Databases;Paris Descartes University;university;Raphaël Juston|Changzhang Wang|Betty B. Chaar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Pribbenow91;Phenomena of Localization.;Simone Pribbenow;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Mining|Semantic Data|NLP;Aarhus University;university;Samantha Clarke|Dong Wang|Mohammad Jalali;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Imbert94;Linear Constraint Solving in CLP-Languages;Jean-Louis Imbert;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Big Data|Data Engineering|NLP;University of Santiago de Compostela;university;Elena Casiraghi|Tatiana Berzina|Igino Corona;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Eberle91;On Representing the Temporal Structure of Texts.;Kurt Eberle;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Mining|Semantic Data;Clarkson University;university;A. Nirmal Kumar|Antonio S. Cofiño|Andrés Erosa;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Kanngiesser91;Outlines of LEU/2 Lexicology.;Siegfried Kanngießer;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Semantic Data;University of WrocÅ‚aw;university;Konstantinos Tourlas|Mehmet Emin Dalkiliç|Julia Frugoli;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/MontanariR94;Concurrency and Concurrent Constraint Programming;Francesca Rossi|Ugo Montanari;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Machine Learning;Plymouth University;university;Evangelos A. Theodorou|Paula E. Gobbi|Shirley Moore;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Charlier94;Abstract Interpretation and Finite Domain Symbolic Constraints;Baudouin Le Charlier;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Computer Networks;Aristotle University of Thessaloniki;university;Shan Mei|Shota Yasutake|Maissa Ben Jamâa;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Kirchner94;On the Use of Constraints in Automated Deduction;Hélène Kirchner;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Computer Networks;Bouygues;company;Aurelia Tamò-Larrieux|Hamid Sabourian|Morisa Manzella;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Comon94;Constraints in Term Algebras: An Overview of Constraint Solving Techniques;Hubert Comon;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;NLP|Computer Networks;National Polytechnic Institute;university;Takuma Wakayama|Valentina Nisi|Emilija Manojlovic-Gacic;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/FranchittiK93;Amalgame: A Tool for Creating Interoperating, Persistent, Heterogeneous Components.;Jean-Claude Franchitti|Roger King;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Relational Databases|Machine Learning;Versailles Saint-Quentin-en-Yvelines University;university;Rudolf J. Strijkers|Daniela Ladiana|Yan Xiong;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/BrauerLS91;Text Understanding - The Challenges to Come.;Helmut Schnelle|Peter C. Lockemann|Wilfried Brauer;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing;University of North Carolina at Chapel Hill;university;Alden King|Mónica Martínez-Gómez|Kyle Ferguson;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Novak91;Integrating a Generation Component into a Natural Language Understanding System.;Hans-Joachim Novak;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Computer Networks;Osaka University;university;Elaine Howard Ecklund|Kotoe Katayama|Yongming Li 0001;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Smolka94;The Definition of Kernel Oz;Gert Smolka;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Computer Networks|Semantic Data|High Performance Computing;Best Buy;company;Gregory J. Morgan|Peter Bednár|Delia Murphy;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Erbach91;A Flexible Parser for a Linguistic Development Environment.;Gregor Erbach;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Engineering|Data Structures;The Catholic University of America;university;Alexander Meyer-Gohde|Chongxia Lu|Kemal Ozbek;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/VadapartyN93;The Decomposition Property of Non-Deterministic Databases.;Kumar V. Vadaparty|Shamim A. Naqvi;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Data Structures|Data Engineering;University of British Columbia;university;Sasikanth Pagadrai|Mehmet Göktürk|Pierre-Etienne Moreau;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Wendholt91;The Formulator.;Birgit Wendholt;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Big Data;University of Geneva;university;Jing Li 0061|Gabriel Pires|Bin R. Chen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/BertinoJS93;Access Control in Object-Oriented Database Systems - Some Approaches and Issues.;Elisa Bertino|Pierangela Samarati|Sushil Jajodia;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Relational Databases|Data Engineering;Ã‰cole Polytechnique;university;Veronika Köbberling|Akira Okada|G. A. Sathish Kumar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Habel91;Processing of Spatial Expressions in LILOG.;Christopher Habel;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Computer Networks;Texas A&M University, College Station;university;Yong Shi 0001|Arianna Menciassi|Kaitlyn E. Sternat;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SchillerS91;Morphological Processing in the Two-Level Paradigm.;Anne Schiller|Petra Steffens;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Machine Learning|NLP|Data Engineering;Wageningen University and Research Centre;university;Daniel Povey|Jinnie M. Garrett|Stuart J. Russell;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Tewari93;Efficient Parallel Recovery in Replicated Databases.;Raj Tewari;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Big Data|Relational Databases;Inha University;university;Karem H. Alzoubi|Yehuda Izhakian|Naiara Rojo;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/SheuP93;The Architecture of an Object Base Environment for Simulation.;Larry J. Peterson|Phillip C.-Y. Sheu;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Semantic Data|Data Structures;North Dakota State University - Main Campus;university;Milos Cekic|Moti Frank|Isaque Macalam Saab Lima;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/GadiaC93;A Relational Model and SQL-like Query Language for Spatial Databases.;Shashi K. Gadia|Vimal Chopra;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Relational Databases|High Performance Computing|Semantic Data;Martin Luther University of Halle-Wittenberg;university;Olivier Delalleau|Zhao-lin Huo|Giulio Sandini;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Khenkhar91;Object-Oriented Representation of Depictions on the Basis of Cell Matrices.;Mohammed Nadjib Khenkhar;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing;National Sun Yat-sen University;university;Ana Cristina Rocha Oliveira|Pei-Hung Lin|Jian Li 0028;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/YuCWT93;Parallel Query Processing.;Joel L. Wolf|John Turek|Ming-Syan Chen|Philip S. Yu;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Big Data;Nanjing University of Technology;university;Supriya Kummamuru|Alexei Sharpanskykh|Dante Abate;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Fruhwirth94;Constraint Handling Rules;Thom W. Frühwirth;Constraint Programming;1994;Est sed aliquam est dolorem dolore.;Semantic Data|High Performance Computing;University of Sherbrooke;university;David Duvenaud|Manohar Das|René Kirkegaard;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Rickheit91;Sortal Information in Lexical Concepts.;Mechthild Rickheit;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Data Engineering|Machine Learning;Telstra;company;Rafael del Vado Vírseda|Peter M. Attia|Brian Blanton;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/KarabatisRS93;Correctness and Enforcement of Multidatabase Interdependencies.;Amit P. Sheth|George Karabatis|Marek Rusinkiewicz;Advanced Database Systems;1993;Est sed aliquam est dolorem dolore.;Data Engineering|NLP;Pennsylvania State University, University Park;university;Fernando Perera-Tallo|Ewout van den Berg|Samson Alva;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/BenzschawelGLLMW91;LILOG-DB: Database Support for Knowledge Based Systems.;Albert Maier|Bernd Walter|Erich Gehlen|Michael Ley|Stefan Benzschawel|Thomas Ludwig 0001;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;Computer Networks;North Carolina State University;university;Cheol-Heon Jeonga|Péter Bayer|Arnak S. Dalalyan;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/lncs/Bosch91;The Bermuda Triangle: Natural Language Semantics Between Linguistics, Knowledge Representation, and Knowledge Processing.;Peter Bosch;Text Understanding in LILOG;1991;Est sed aliquam est dolorem dolore.;High Performance Computing;Swinburne University of Technology;university;Luca Cristoforetti|Ayushi Bajaj|Michèle Sebag;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/jmlr/MwebazeQ10;Fast Committee-Based Structure Learning.;Ernest Mwebaze|John A. Quinn;NIPS Causality: Objectives and Assessment;2010;Est sed aliquam est dolorem dolore.;Data Mining;Case Western Reserve University;university;Lakshmi Kiran Tondehal|Bojan Sekoranja|Xavier Sumba;Sed porro dolor numquam eius consectetur ipsum.;accepted
